,province
585,北京
586,北京
587,湖南
588,天津
589,重庆
590,海南
591,山东
592,广东
593,陕西
594,重庆
595,广东
596,浙江
597,黑龙江
598,江苏
599,河南
600,广东
601,福建
602,河北
603,新疆
604,江苏
605,河北
606,山东
607,山东
608,山东
609,江苏
610,北京
611,浙江
612,宁夏
613,辽宁
614,江苏
615,河北
616,江苏
617,湖北
618,广东
619,湖南
620,山东
621,辽宁
622,江西
623,江苏
624,北京
625,江苏
626,陕西
627,陕西
628,四川
629,广东
630,上海
631,江苏
632,山东
633,广东
634,河南
635,陕西
636,山西
637,河南
638,湖北
639,天津
640,山东
641,江苏
642,江苏
643,山东
644,广东
645,贵州
646,新疆
647,江苏
648,北京
649,山西
650,北京
651,山东
652,云南
653,辽宁
654,广东
655,河北
656,河南
657,福建
658,广东
659,湖北
660,广东
661,广东
662,福建
663,四川
664,浙江
665,山西
666,山西
667,广东
668,广西
669,山东
670,北京
671,北京
672,甘肃
673,山东
674,河南
675,山东
676,贵州
677,湖南
678,陕西
679,江苏
680,江西
681,新疆
682,河北
683,河北
684,重庆
685,湖南
686,河南
687,吉林
688,湖北
689,四川
690,山东
691,浙江
692,上海
693,广东
694,吉林
695,湖南
696,辽宁
697,山东
698,重庆
699,河北
700,内蒙古
701,重庆
702,山东
703,山东
704,四川
705,重庆
706,湖北
707,广东
708,广东
709,江西
710,北京
711,山西
712,山西
713,甘肃
714,浙江
715,浙江
716,广东
717,湖南
718,山西
719,四川
720,广东
721,上海
722,山东
723,广东
724,内蒙古
725,广东
726,广东
727,湖南
728,北京
729,湖北
730,山东
731,广东
732,河南
733,江苏
734,广东
735,山东
736,河北
737,广东
738,湖南
739,安徽
740,陕西
741,辽宁
742,贵州
743,山西
744,河南
745,广东
746,广东
747,广东
748,陕西
749,上海
750,江西
751,广东
752,河南
753,江苏
754,山东
755,天津
756,浙江
757,辽宁
758,广东
759,辽宁
760,上海
761,河北
762,山东
763,广东
764,浙江
765,重庆
766,广东
767,广东
768,山东
769,陕西
770,重庆
771,湖南
772,江西
773,河南
774,江苏
775,山东
776,山东
777,湖北
778,山西
779,河北
780,山东
781,内蒙古
782,河南
783,浙江
784,福建
785,北京
786,江西
787,湖北
788,江西
789,北京
790,山东
791,江苏
792,山西
793,广东
794,江苏
795,河南
796,江苏
797,广东
798,山西
799,黑龙江
800,新疆
801,山东
802,广东
803,河南
804,广东
805,陕西
806,山东
807,北京
808,广东
809,广西
810,北京
811,福建
812,江苏
813,重庆
814,河南
815,河南
816,重庆
817,河南
818,河南
819,辽宁
820,吉林
821,河北
822,江苏
823,安徽
824,福建
825,河南
826,山西
827,山东
828,湖南
829,北京
830,江苏
831,重庆
832,江苏
833,广东
834,四川
835,内蒙古
836,黑龙江
837,重庆
838,广东
839,广东
840,四川
841,浙江
842,广西
843,广东
844,陕西
845,山东
846,江苏
847,江苏
848,山东
849,福建
850,山东
851,四川
852,贵州
853,广东
854,浙江
